gen_length,ref_length,length_ratio,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,bertscore_f1,cider,token_precision,token_recall,token_f1,shot_id,start_time,movie_id
21,31,0.6774193548387096,0.38451843090480337,0.30909012366648675,0.2384585524400107,0.38284023668639056,0.5384615384615384,0.32,0.4615384615384615,0.34937676787376404,2.5440306780450817,0.631578947368421,0.42857142857142855,0.5106382973906745,0,0.0,10142
35,17,2.0588235294117645,0.11428571428571427,0.018333969940564222,0.007511251053510192,0.13297872340425532,0.2692307692307692,0.039999999999999994,0.23076923076923078,0.10440456867218018,0.025734310862068847,0.0967741935483871,0.21428571428571427,0.13333333290469132,1,14.8,10142
36,33,1.0909090909090908,0.16666666666666669,0.02182178902359924,0.008071364532479952,0.09009009009009009,0.20000000000000004,0.0,0.17142857142857143,0.07635997235774994,0.07951269995351291,0.09375,0.1,0.0967741930489074,3,27.6,10142
38,28,1.3571428571428572,0.15789473684210523,0.06532553344640134,0.013565907333537271,0.1470306513409962,0.1764705882352941,0.030303030303030307,0.14705882352941174,0.0512964203953743,0.2628811572324893,0.15625,0.21739130434782608,0.18181818133157024,5,44.4,10142
31,28,1.1071428571428572,0.2258064516129032,0.08675760324277121,0.017448767890681335,0.18799690812720848,0.26666666666666666,0.034482758620689655,0.16666666666666666,0.08423866331577301,0.17754881384476878,0.19230769230769232,0.21739130434782608,0.20408163215493544,6,45.0,10142
46,24,1.9166666666666667,0.45652173913043476,0.41528757279256745,0.32135913525599774,0.7267487147530769,0.6301369863013699,0.5352112676056338,0.6301369863013699,0.5838618278503418,4.085138453718901,0.4857142857142857,0.85,0.6181818177190083,9,71.0,10142
18,10,1.8,0.2222222222222222,0.16169041669088866,0.03230645681297444,0.34722222222222227,0.2857142857142857,0.15384615384615383,0.2857142857142857,0.42427361011505127,0.679239944840142,0.26666666666666666,0.4,0.31999999952,10,79.6,10142
29,10,2.9,0.13793103448275862,0.022194838080923762,0.009152541620698935,0.2100840336134454,0.2926829268292683,0.0,0.1951219512195122,0.2304876297712326,0.3590645889672017,0.14285714285714285,0.4,0.21052631540166203,11,80.8,10142
31,6,5.166666666666667,0.09677419354838708,0.05679618342470647,0.014117915208981237,0.17647058823529413,0.16216216216216214,0.05714285714285715,0.16216216216216214,0.16401301324367523,0.22353613648374204,0.13043478260869565,0.5,0.2068965513959572,12,83.0,10142
22,20,1.1,0.13636363636363635,0.02548235957188128,0.011433361115787456,0.07425742574257424,0.14285714285714282,0.0,0.09523809523809525,0.10649563372135162,0.019192684016269633,0.14285714285714285,0.17647058823529413,0.15789473634764542,14,85.2,10142
25,20,1.25,0.2,0.12909944487358058,0.042601467364417965,0.2175609756097561,0.3829787234042553,0.13333333333333333,0.3829787234042553,0.4486135244369507,0.35588401651193924,0.25,0.29411764705882354,0.27027026977355734,15,87.0,10142
21,20,1.05,0.14285714285714285,0.026726124191242442,0.012021577610863726,0.0746268656716418,0.14634146341463414,0.0,0.04878048780487805,0.101741723716259,0.2107528390592298,0.15,0.17647058823529413,0.16216216166544922,16,87.8,10142
26,20,1.3,0.1153846153846154,0.02148344622118299,0.00956240657444202,0.07281553398058252,0.13043478260869565,0.0,0.13043478260869565,0.062460578978061676,0.0715419294885245,0.15,0.17647058823529413,0.16216216166544922,17,89.8,10142
20,20,1.0,0.45,0.2665569949915916,0.06941681530093603,0.41425,0.6666666666666666,0.3,0.5238095238095238,0.5511851906776428,1.0637636872538139,0.4444444444444444,0.47058823529411764,0.4571428566432653,18,91.0,10142
21,27,0.7777777777777778,0.14313853201434015,0.07333667451313378,0.01726283068759439,0.07575757575757576,0.23999999999999996,0.125,0.16,0.1499052494764328,0.28229821790691845,0.2,0.19047619047619047,0.19512195071980964,22,101.4,10142
22,27,0.8148148148148148,0.7242758817213286,0.703277901662247,0.6885066936479178,0.7445283018867924,0.84,0.7916666666666667,0.84,0.7296397089958191,7.211224932509128,0.9411764705882353,0.7619047619047619,0.8421052626634348,23,104.8,10142
32,27,1.1851851851851851,0.5625,0.48568209435205,0.38376797444789135,0.5575757575757576,0.721311475409836,0.5084745762711864,0.6557377049180327,0.5690580010414124,3.082889469880408,0.6,0.7142857142857143,0.6521739125472589,24,105.4,10142
20,23,0.8695652173913043,0.1721415952850116,0.02792505422285115,0.011721807090220231,0.11013215859030837,0.1818181818181818,0.0,0.1818181818181818,0.13091078400611877,0.1462440557885468,0.16666666666666666,0.15,0.1578947363434903,25,107.0,10142
